1089746220	20220317	202203	2022	2022.2110	NER	NIGER	NER								AFR	AFRICA	AFR								0	042	042	04	1	1.9	2	1	2	2.04778156996587	1	Lesotho	LT	LT		-29.5	28.25	LT	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746221	20220317	202203	2022	2022.2110	NER	NIGER	NER								AFR	AFRICA	AFR								0	042	042	04	1	1.9	8	1	8	2.04778156996587	1	Niger	NG	NG		16	8	NG	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746222	20220317	202203	2022	2022.2110	SYC	SEYCHELLES	SYC								AFR	AFRICA	AFR								0	042	042	04	1	1.9	2	1	2	2.04778156996587	1	Niger	NG	NG		16	8	NG	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746223	20220317	202203	2022	2022.2110	SYC	SEYCHELLES	SYC								AFR	AFRICA	AFR								0	042	042	04	1	1.9	8	1	8	2.04778156996587	1	Seychelles	SE	SE		-4.583333	55.666667	SE	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746224	20220317	202203	2022	2022.2110	TZA	TANZANIA	TZA								AFR	AFRICA	AFR								0	042	042	04	1	1.9	2	1	2	2.04778156996587	1	Seychelles	SE	SE		-4.583333	55.666667	SE	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746225	20220317	202203	2022	2022.2110	TZA	TANZANIA	TZA								AFR	AFRICA	AFR								0	042	042	04	1	1.9	8	1	8	2.04778156996587	1	Tanzania	TZ	TZ		-6	35	TZ	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746226	20220317	202203	2022	2022.2110	UGA	UGANDA	UGA								AFR	AFRICA	AFR								0	042	042	04	1	1.9	2	1	2	2.04778156996587	1	Tanzania	TZ	TZ		-6	35	TZ	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746227	20220317	202203	2022	2022.2110	UGA	UGANDA	UGA								AFR	AFRICA	AFR								0	042	042	04	1	1.9	8	1	8	2.04778156996587	1	Uganda	UG	UG		2	33	UG	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	1	Ethiopia	ET	ET		8	38	ET	20230317141500	https://www.devdiscourse.com/article/law-order/2383411-india-to-host-military-wargame-with-african-nations
1089746228	20220317	202203	2022	2022.2110	USA	ARIZONA	USA								EDU	SCHOOL						EDU			0	042	042	04	1	1.9	2	1	2	-5.3248136315229	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20230317141500	https://mynorthwest.com/3859613/texas-florida-push-border-laws-as-governors-eye-presidency/
1089746229	20220317	202203	2022	2022.2110	USA	ARIZONA	USA								EDU	SCHOOL						EDU			0	042	042	04	1	1.9	2	1	2	-5.3248136315229	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20230317141500	https://mynorthwest.com/3859613/texas-florida-push-border-laws-as-governors-eye-presidency/
